run,layer,mean_cosine_to_english,n
baseline,0,0.8906616683981635,2200
baseline,1,0.9359629541364584,2200
baseline,2,0.9362696608901024,2200
baseline,3,0.9035370169444518,2200
baseline,4,0.8555282878740267,2200
baseline,5,0.8232589567520402,2200
baseline,6,0.808830529126254,2200
baseline,7,0.8068281059102579,2200
baseline,8,0.8075163314830173,2200
baseline,9,0.8111837449398908,2200
baseline,10,0.8159489889984781,2200
baseline,11,0.8250690964541652,2200
baseline,12,0.8243863258714026,2200
baseline,13,0.8262108064510606,2200
baseline,14,0.8337862747501243,2200
baseline,15,0.8415193594043905,2200
baseline,16,0.8397532893446359,2200
baseline,17,0.8433411841094494,2200
baseline,18,0.8542379427498037,2200
baseline,19,0.8580126193436709,2200
baseline,20,0.8533857265114784,2200
baseline,21,0.8552957651290026,2200
baseline,22,0.8516962423920631,2200
baseline,23,0.8478683609176766,2200
baseline,24,0.8501751984113997,2200
baseline,25,0.8475650648908182,2200
baseline,26,0.848157473098148,2200
baseline,27,0.8429751813682643,2200
baseline,28,0.8401713179187341,2200
baseline,29,0.8413735095750202,2200
baseline,30,0.8215495744889433,2200
baseline,31,0.8204068867862224,2200
baseline,32,0.8122546046565879,2200
baseline,33,0.8057781179723414,2200
baseline,34,0.8051888579401103,2200
baseline,35,0.8251246153360063,2200
baseline,36,0.8164381633834406,2200
lr_disentangle,0,0.8907428119670261,2200
lr_disentangle,1,0.9356734121116725,2200
lr_disentangle,2,0.9359870233048092,2200
lr_disentangle,3,0.9021882339228283,2200
lr_disentangle,4,0.8538614177161997,2200
lr_disentangle,5,0.8210665828395973,2200
lr_disentangle,6,0.8058842800693079,2200
lr_disentangle,7,0.8038621246814728,2200
lr_disentangle,8,0.80471547907049,2200
lr_disentangle,9,0.8086266284910115,2200
lr_disentangle,10,0.8133607555925846,2200
lr_disentangle,11,0.8225833151557229,2200
lr_disentangle,12,0.8219718374040994,2200
lr_disentangle,13,0.8238462044840509,2200
lr_disentangle,14,0.8314953975650398,2200
lr_disentangle,15,0.8395725884898142,2200
lr_disentangle,16,0.8379658236286857,2200
lr_disentangle,17,0.841806054900993,2200
lr_disentangle,18,0.8529075736078349,2200
lr_disentangle,19,0.8569790435108271,2200
lr_disentangle,20,0.8525362046740271,2200
lr_disentangle,21,0.8542946716601199,2200
lr_disentangle,22,0.8505555705319752,2200
lr_disentangle,23,0.8467482965642755,2200
lr_disentangle,24,0.8491678318110379,2200
lr_disentangle,25,0.8461995844407515,2200
lr_disentangle,26,0.8467325219241055,2200
lr_disentangle,27,0.8411687109687112,2200
lr_disentangle,28,0.8384358703277328,2200
lr_disentangle,29,0.839594781127843,2200
lr_disentangle,30,0.8196749650077386,2200
lr_disentangle,31,0.8184861873496663,2200
lr_disentangle,32,0.8100901249322024,2200
lr_disentangle,33,0.8035362984578718,2200
lr_disentangle,34,0.8023819438164884,2200
lr_disentangle,35,0.8220247956026684,2200
lr_disentangle,36,0.8127353264526888,2200
